Country,Date,Value,Wind10int,Wind100int
United States,2021-05-14,992.4186781755117,3.247132174193548,5.038576961290323
United States,2021-05-15,986.2400119805758,3.237954164516129,5.024269496774194
United States,2021-05-16,980.06134578564,3.2287761548387097,5.0099620322580645
United States,2021-05-17,973.8826795907041,3.21959814516129,4.995654567741935
United States,2021-05-18,967.7040133957684,3.210420135483871,4.981347103225806
United States,2021-05-19,961.5253472008325,3.2012421258064516,4.967039638709677
United States,2021-05-20,955.3466810058967,3.192064116129032,4.952732174193549
United States,2021-05-21,949.1680148109608,3.1828861064516127,4.938424709677419
United States,2021-05-22,942.989348616025,3.1737080967741935,4.92411724516129
United States,2021-05-23,936.8106824210892,3.1645300870967743,4.909809780645161
United States,2021-05-24,930.6320162261534,3.1553520774193546,4.895502316129032
United States,2021-05-25,924.4533500312175,3.1461740677419354,4.881194851612904
United States,2021-05-26,918.2746838362817,3.136996058064516,4.866887387096774
United States,2021-05-27,912.096017641346,3.1278180483870965,4.852579922580645
United States,2021-05-28,905.9173514464101,3.1186400387096773,4.838272458064516
United States,2021-05-29,899.7386852514742,3.109462029032258,4.823964993548387
United States,2021-05-30,893.5600190565384,3.100284019354839,4.8096575290322585
United States,2021-05-31,887.3813528616026,3.091106009677419,4.795350064516129
United States,2021-06-01,881.2026866666668,3.081928,4.7810426
United States,2021-06-02,874.9197925949821,3.07156555,4.7644658
United States,2021-06-03,868.6368985232975,3.0612031,4.747889
United States,2021-06-04,862.354004451613,3.05084065,4.7313122000000005
United States,2021-06-05,856.0711103799284,3.0404782,4.7147354
United States,2021-06-06,849.7882163082438,3.03011575,4.6981586
United States,2021-06-07,843.5053222365592,3.0197533,4.6815818
United States,2021-06-08,837.2224281648746,3.00939085,4.665005
United States,2021-06-09,830.93953409319,2.9990284,4.648428200000001
United States,2021-06-10,824.6566400215054,2.98866595,4.6318514
United States,2021-06-11,818.3737459498209,2.9783035,4.6152746
United States,2021-06-12,812.0908518781363,2.96794105,4.5986978
United States,2021-06-13,805.8079578064517,2.9575786,4.582121
United States,2021-06-14,799.5250637347671,2.94721615,4.565544200000001
United States,2021-06-15,793.2421696630824,2.9368537,4.5489674
United States,2021-06-16,786.959275591398,2.9264912499999998,4.5323906
United States,2021-06-17,780.6763815197133,2.9161288,4.5158138
United States,2021-06-18,774.3934874480287,2.90576635,4.499237
United States,2021-06-19,768.1105933763441,2.8954039,4.482660200000001
United States,2021-06-20,761.8276993046595,2.88504145,4.4660834000000005
United States,2021-06-21,755.5448052329749,2.874679,4.4495066
United States,2021-06-22,749.2619111612903,2.86431655,4.4329298
United States,2021-06-23,742.9790170896058,2.8539541,4.416353
United States,2021-06-24,736.6961230179212,2.84359165,4.399776200000001
United States,2021-06-25,730.4132289462366,2.8332292,4.3831994000000005
United States,2021-06-26,724.130334874552,2.82286675,4.3666226
United States,2021-06-27,717.8474408028674,2.8125043,4.3500458
United States,2021-06-28,711.5645467311829,2.80214185,4.333469
United States,2021-06-29,705.2816526594981,2.7917794,4.316892200000001
United States,2021-06-30,698.9987585878137,2.78141695,4.300315400000001
United States,2021-07-01,692.715864516129,2.7710545,4.2837386
United States,2021-07-02,697.7897635796046,2.775150116129032,4.291233235483872
United States,2021-07-03,702.8636626430801,2.7792457322580644,4.298727870967742
United States,2021-07-04,707.9375617065557,2.7833413483870966,4.306222506451613
United States,2021-07-05,713.0114607700312,2.787436964516129,4.313717141935484
United States,2021-07-06,718.0853598335068,2.7915325806451614,4.3212117774193555
United States,2021-07-07,723.1592588969824,2.7956281967741936,4.328706412903226
United States,2021-07-08,728.2331579604579,2.799723812903226,4.336201048387097
United States,2021-07-09,733.3070570239335,2.803819429032258,4.343695683870968
United States,2021-07-10,738.380956087409,2.80791504516129,4.351190319354839
United States,2021-07-11,743.4548551508846,2.8120106612903224,4.35868495483871
United States,2021-07-12,748.5287542143601,2.8161062774193546,4.366179590322581
United States,2021-07-13,753.6026532778357,2.8202018935483872,4.373674225806452
United States,2021-07-14,758.6765523413112,2.8242975096774194,4.381168861290323
United States,2021-07-15,763.7504514047866,2.8283931258064516,4.3886634967741935
United States,2021-07-16,768.8243504682623,2.832488741935484,4.396158132258065
United States,2021-07-17,773.8982495317377,2.836584358064516,4.403652767741936
United States,2021-07-18,778.9721485952134,2.8406799741935482,4.411147403225807
United States,2021-07-19,784.0460476586888,2.8447755903225804,4.418642038709677
United States,2021-07-20,789.1199467221644,2.8488712064516126,4.426136674193549
United States,2021-07-21,794.19384578564,2.8529668225806453,4.43363130967742
United States,2021-07-22,799.2677448491155,2.8570624387096775,4.441125945161291
United States,2021-07-23,804.341643912591,2.8611580548387097,4.448620580645161
United States,2021-07-24,809.4155429760666,2.865253670967742,4.4561152161290325
United States,2021-07-25,814.4894420395422,2.869349287096774,4.463609851612904
United States,2021-07-26,819.5633411030177,2.8734449032258063,4.471104487096775
United States,2021-07-27,824.6372401664933,2.8775405193548385,4.478599122580645
United States,2021-07-28,829.7111392299688,2.8816361354838707,4.486093758064516
United States,2021-07-29,834.7850382934444,2.8857317516129033,4.493588393548388
United States,2021-07-30,839.8589373569199,2.8898273677419355,4.501083029032259
United States,2021-07-31,844.9328364203955,2.8939229838709677,4.508577664516129
United States,2021-08-01,850.006735483871,2.8980186,4.5160723
United States,2021-08-02,853.4609468123483,2.9024732967741933,4.525914483870968
United States,2021-08-03,856.9151581408256,2.906927993548387,4.535756667741936
United States,2021-08-04,860.3693694693029,2.9113826903225806,4.545598851612904
United States,2021-08-05,863.8235807977801,2.915837387096774,4.555441035483871
United States,2021-08-06,867.2777921262574,2.920292083870968,4.565283219354839
United States,2021-08-07,870.7320034547347,2.9247467806451612,4.575125403225806
